2022-08-04 21:08:949 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:273 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:357 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:740 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:915 INFO  LoginPage :31 - Enter username [[ChromeDriver: chrome on WINDOWS (6e57d386a0e0f0bc10a43953494dbb08)] -> xpath: //body/div[1]/div[2]/form[1]/div[1]/input[1]] to username field [[ChromeDriver: chrome on WINDOWS (6e57d386a0e0f0bc10a43953494dbb08)] -> xpath: //body/div[1]/div[2]/form[1]/div[1]/input[1]]
2022-08-04 21:08:970 INFO  LoginPage :35 - Enter Password admin to email field [[ChromeDriver: chrome on WINDOWS (6e57d386a0e0f0bc10a43953494dbb08)] -> xpath: //body/div[1]/div[2]/form[1]/div[2]/input[1]]
2022-08-04 21:08:569 INFO  LoginPage :39 - Clicking on loginLink [[ChromeDriver: chrome on WINDOWS (6e57d386a0e0f0bc10a43953494dbb08)] -> xpath: //button[contains(text(),'Login')]]
2022-08-04 21:08:943 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:454 INFO  LoginPage :32 - Enter username [[ChromeDriver: chrome on WINDOWS (9780f18b39e318100cd315743d873816)] -> xpath: //body/div[1]/div[2]/form[1]/div[1]/input[1]] to username field [[ChromeDriver: chrome on WINDOWS (9780f18b39e318100cd315743d873816)] -> xpath: //body/div[1]/div[2]/form[1]/div[1]/input[1]]
2022-08-04 21:08:527 INFO  LoginPage :36 - Enter Password admin to email field [[ChromeDriver: chrome on WINDOWS (9780f18b39e318100cd315743d873816)] -> xpath: //body/div[1]/div[2]/form[1]/div[2]/input[1]]
2022-08-04 21:08:767 INFO  LoginPage :40 - Clicking on loginLink [[ChromeDriver: chrome on WINDOWS (9780f18b39e318100cd315743d873816)] -> xpath: //button[contains(text(),'Login')]]
2022-08-04 21:08:83 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:979 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:433 INFO  ManageDriver :33 - launching chrome browser
2022-08-04 21:08:962 INFO  ManageDriver :33 - launching chrome browser
